Refid,Author,Title,Journal,RelevanceRating,NewsworthinessRating,PMID,Type of Study,Speciality Bucket -> General dentistry,Speciality Bucket -> Pedodontics,Speciality Bucket -> Conservative Dentistry and Endodontics,Speciality Bucket -> Oral and Maxillofacial Surgery,Speciality Bucket -> Dental Public Health,Speciality Bucket -> Oral Medicine,Speciality Bucket -> Orthodontics,Speciality Bucket -> Prosthodontics,Speciality Bucket -> Periodontics,Should this reference be included in the next stage
11,"Yue Yang, Hui Yuh Soh, Zhi Gang Cai, Xin Peng, Yi Zhang, Chuan Bin Gup",Experience of Diagnosing and Managing Patients in Oral Maxillofacial Surgery during the Prevention and Control Period of the New Coronavirus Pneumonia,Chinese Journal of Dental Research,7,7,32232230,Perspectives / Commentaries,,,,Oral and Maxillofacial Surgery,,Oral Medicine,,,,Yes
12,Samy Darwish,COVID-19 Considerations in Dental Care,Dent Update,7,7,,Perspectives / Commentaries,General dentistry,,,,,,,,,Yes
13,Abdulla Alani,Coronavirus COVID-19 Impact on Dentistry,Journal of the Bahrain Medical Society,4,3,,Letter to editor,General dentistry,,,,,,,,,Yes
14,Tim Sandle,COVID-19 and dental practice,Dental Nursing,6,4,,Perspectives / Commentaries,General dentistry,,,,,,,,,Yes
15,,Covid-19 and dental practice in Ireland,Irish Dental Association,7,6,,Perspectives / Commentaries,General dentistry,,,,,,,,,Yes
16,"L. Meng, F. Hua, Z. Bian",Coronavirus Disease 2019 (COVID-19): Emerging and Future Challenges for Dental and Oral Medicine,Journal of Dental Research,7,5,32162995,Narrative Review,General dentistry,,Conservative Dentistry and Endodontics,Oral and Maxillofacial Surgery,,,,,,Yes
17,"Ethics Subcommittee of the Council on Ethics, Bylaws and
Judicial Affairs",Ethical practice during the COVID-19 pandemic,Journal of Americal Dental Association,5,5,32276721,Feature,General dentistry,,,,Dental Public Health,,,,,Yes
18,"Roberto Careddu, Manuela Ciaschetti, Greg Creavin, Flavio Molina, Gianluca Plotino",COVID-19 and dental practice: overview and protocols during pandemic,Giornale Italiano di Endodonzia,5,3,,Narrative Review,General dentistry,,,,,,,,,Yes
19,"Pier Carmine Passarelli, Giuseppe Passarelli, Ioannis Alexandros Charitos, Edoardo Rella, Luigi Santacroce, Antonio D?Addona",COVID-19 and Oral Diseases: How can we Manage Hospitalized and  Quarantined Patients while Reducing Risks?,Electronic Journal of General Medicine,6,5,,short communication,General dentistry,,,,,,,,,Yes
20,"Dr. Aaditi Kadam, Dr. Freny Karjodkar, Dr. Kaustubh Sansare, Dr. Vineet Vinay",Covid 19 Facts And Its Infection Control Measures For Dentists,IOSR Journal of Dental and Medical Sciences,6,4,,Narrative Review,General dentistry,,,,,,,,,Yes
21,"Sayna Shamszadeh, Ardavan Parhizkar, Masoud Mardani, Saeed Asgary",Dental Considerations After the Outbreak of 2019 Novel Coronavirus Disease: A Review of Literature,Archives of Clinical Infectious Diseases,7,4,,Narrative Review,General dentistry,,,,,,,,,Yes
22,"Dr. Nitish Mathur, Dr. Sanjeev Tyagi, Dr. Vartul Dwivedi, Dr. Anu Narang, Dr. Parimala Tyagi, Dr. Kartik S Nath",DENTAL CONSIDERATIONS AMIDST COVID-19 SCARE,International Journal of Medical and Biomedical Studies,6,4,,Narrative Review,General dentistry,,,,,,,,,Yes
23,"Hercilio Martelli-Juniora, Renato Assis Machadoc, Daniella R.B. Martellia, Ricardo D. Colettac",Dental journals and coronavirus disease (COVID-19): A current view,Oral Oncology,5,3,32249188,Letter to editor,General dentistry,,,,,,,,,Yes
24,Paul Coulthard,Dentistry and coronavirus (COVID-19) – moral decision-making,British Dental Journal,4,3,32277203,Perspectives / Commentaries,General dentistry,,,,,,,,,Yes
25,"Marcelo Henrique Napimoga, Andre Ricardo Ribas de Freitas",Dentistry vs Severe Acute Respiratory Syndrome Coronavirus 2: How to face this enemy,Rev Ga?ch Odontol,6,3,,Communication,General dentistry,,,,,,,,,Yes
26,"Yousef Khader, Mohannad Al Nsour, Ola Barakat Al-Batayneh, Rami Saadeh, Haitham Bashier, Mahmoud Alfaqih, Sayer Al-Azzam, Bara? Abdallah AlShurman","Dentists Awareness, Perception, and Attitude Regarding COVID-19 and Infection Control: Cross-Sectional Study Among Jordanian Dentists",JMIR Public Health Surveillance,3,2,32250959,Cross sectional study,General dentistry,,,,,,,,,Yes
27,"Jingjing Yu, Tian Zhang, Dan Zhao, Markus Haapasalo, Ya Shen",Characteristics of Endodontic Emergencies during COVID-19 Outbreak in Wuhan,Journal of Endodontics,4,3,32360053,Cross sectional study,,,Conservative Dentistry and Endodontics,,,,,,,Yes
28,"Muhammad Adeel Ahmed, Rizwan Jouhar, Naseer Ahmed, Samira Adnan, Marziya Aftab , Muhammad Sohail Zafar, Zohaib Khurshid",Fear and Practice Modifications among Dentists to Combat Novel Coronavirus Disease (COVID-19) Outbreak,International Journal of Environmental Research and Public Health,6,5,32325888,Cross sectional study,General dentistry,,,,,,,,,Yes
29,"Ali Alharbi, Saad Alharbi, Shahad Alqaidi",Guidelines for dental care provision during the 5 COVID-19 pandemic,Saudi Dental Journal,7,6,32292260,Perspectives / Commentaries,General dentistry,,,,,,,,,Yes
30,"Luiz P. Kowalski, Alvaro Sanabria, John A. Ridge, Wai Tong Ng, Remco de Bree, Alessandra Rinaldo et al. ",COVID-19 pandemic: Effects and evidence-based recommendations for otolaryngology and head and neck surgery practice,Head & Neck,7,7,32270581,Perspectives / Commentaries,,,,Oral and Maxillofacial Surgery,,,,,,Yes
31,"Yang Yang, Yin Zhou, Xiaoqiang Liu, Jianguo Tan",Health services provision of 48 public tertiary dental hospitals during the COVID-19 epidemic in China,Clinical Oral Investigations,4,1,32246280,Perspectives / Commentaries,General dentistry,,,,Dental Public Health,,,,,Yes
32,"Delphine Maret, Ove A. Peters, Frederic Vaysse, Emmanuelle Vigarios",Integration of telemedicine into the public health response to COVID-19 must include dentists,International Endodontic Journal,4,3,32320488,Letter to editor,General dentistry,,,,,,,,,Yes
33,"C. Prati, G. A. Pelliccioni, V. Sambri, S. Chersoni, M. G. Gandolfi","COVID-19: its impact on dental schools in Italy, clinical problems in endodontic therapy and general considerations",International Endodontic Journal,4,3,32277770,Letter to editor,General dentistry,,Conservative Dentistry and Endodontics,,,,,,,Yes
34,"Arkadiusz Dziedzic, Robert Wojtyczka",The impact of coronavirus infectious disease 19 (COVID-19) on oral health,Oral Diseases,7,7,32304276,short communication,,,,,,Oral Medicine,,,,Yes
35,"Huaqiu Guo, Yin Zhou, Xiaoqiang Liu, Jianguo Tan",The impact of covid-19 epidemic on the utilisation of emergency dental services,Journal of Dental Sciences,5,3,32296495,short communication,General dentistry,,,,,,,,,Yes
36,Lydia Bourouiba,Turbulent Gas Clouds and Respiratory Pathogen Emissions PotentialIy implications of or ReducingTransmission of COVID-19-Clinical review and education,Journal of Americal Medical Association,1,6,32215590,clinical review and education,General dentistry,,,,,,,,,Yes
37,"Marzena Dominiak, Ingrid Roy0o-Kalinowska, Tomasz Gedrange, Tomasz Konopka, Jakub Hadzik, Wojciech Bednarz, Jacek Matys, Anna Lella, Sadri Rayad, Radosaw Maksymowicz, Amadeusz Ku?niarski",Covid-19 And Professional Dental Practice. The Polish Dental Association Working Group Recommendations For Procedures In Dental Office During An Increased Epidemiological Risk,Journal of Stomatology,7,7,,Guidelines and recommendations,,,Conservative Dentistry and Endodontics,Oral and Maxillofacial Surgery,,Oral Medicine,,,,Yes
38,Roberto Lo Giudice,The Severe Acute Respiratory Syndrome Coronavirus-2  (SARS COV-2) in dentistry. Management of biological risk in dental practice ,International Journal of Environmental Research and Public Health,7,7,32354081,Guidelines and recommendations,General dentistry,,Conservative Dentistry and Endodontics,,,Oral Medicine,,,,Yes
39,"Arturo Armone Caruso, Antonio Del Prete, Dr Antonio Ivan Lazzarino, Roberto Capaldi, Lucia Grumetto",May hydrogen peroxide reduce the hospitalization rate and complications of SARS-CoV-2 infection? ,Infection Control & Hospital Epidemiology,5,5,32319881,Letter to editor,General dentistry,,,,,,,,,Yes
40,,Stability and Viability of SARS-CoV-2:correspondence,The New England Journal of Medicine,6,4,32283578,Letter to editor,General dentistry,,,,,,,,,Yes
41,"Paulo Henrique Braz-Silva, Debora Pallos, Simone Giannecchini, Kelvin Kai-Wang To",SARS-CoV-2: What Can Saliva Tell Us?,Oral Diseases,7,7,32311181,Letter to editor,General dentistry,,,,,,,,,Yes
42,"Berlin-Broner Y, Levin L",Dental Hierarchy of Needs in the COVID-19 Era or Why Treat When It Doesn't Hurt?,Oral Health and Preventive Dentistry,4,2,32238979,Perspectives / Commentaries,General dentistry,,,,,,,,,Yes
43,"Danyel Elias da Cruz Pereza, Kamilla Karla Maur?cio Passosa, Renato Assis Machadob, Hercilio Martelli-Junior, Paulo Rogerio Ferreti Bonane",Continuing education in oral cancer during coronavirus disease 2019 (covid-19) outbreak,Oral Oncology,3,1,32307326,Letter to editor,General dentistry,,,,,,,,,Yes
44,Paul Coulthard,The oral surgery response to coronavirus disease (COVID-19). Keep calm and carry on?,Oral Surgery,5,5,,Letter to editor,,,,Oral and Maxillofacial Surgery,,,,,,Yes
45,"Alberto Caprioglio, Giulia B. Pizzetti, Piero Antonio Zecca, Rosamaria Fastuca, Giuliano Maino, Ravindra Nanda",Management of orthodontic emergencies during 2019-NCOV,Progress in Orthodontics,6,5,32266498,Letter to editor,,,,,,,Orthodontics,,,Yes
46,"Gianrico Spagnuolo, Danila De Vito, Sandro Rengo, Marco Tatullo",COVID-19 Outbreak: An Overview on Dentistry,International Journal of Environmental Research and Public Health,5,7,32235685,Editorial,General dentistry,,,,,,,,,Yes
47,"Paul S. Casamassimo, Janice A. Townsend, Scott Litch",Pediatric Dentistry During and After COVID-19,Pediatric Dentistry,6,6,32276673,Perspectives / Commentaries,,Pedodontics,,,,,,,,Yes
49,"Steven Halepas, Elie M. Ferneini",A Pinch of Prevention is Worth a Pound of Cure: Proactive Dentistry in the  Wake of COVID-19,Journal of Oral and Maxillofacial Surgery,6,1,32302529,Perspectives / Commentaries,General dentistry,,,,,,,,,Yes
50,"Imran Farooq, Ali S","COVID-19 outbreak and its monetary implications for dental practices, hospitals and healthcare workers",Postgraduate Medical Journal,5,4,32245754,Letter to editor,General dentistry,,,,,,,,,Yes
51,"Ambigapathy S, Rajahram GS, Shamsudin UK, Khoo EM, Cheah WK, Peariasamy KM, Goh PP, Khor SK",How should front-line general practitioners use personal protective equipment (PPE)?,Malaysian Family Physician,6,4,32284798,Narrative Review,General dentistry,,,,,,,,,Yes
52,"R. Izzetti , M. Nisi, M. Gabriele, and F. Graziani",COVID-19 Transmission in Dental  Practice: Brief Review of Preventive Measures in Italy,Journal of Dental Research,7,7,32302257,clinical review,,,,,,,,Prosthodontics,,Yes
53,"Leonardo Cavallo, Antonia Marciano, Marco Cicciu, Giacomo Oteri",3D Printing beyond Dentistry during COVID 19 Epidemic: A Technical Note for Producing Connectors to Breathing Devices-Italy,Prosthesis,1,7,,Technical notes,General dentistry,,,,,,,,,Yes
54,"S Koutras, S Govender, NH Wood, PD Motloba",COVID-19 pandemic and the  dental practice: South Africa,South African Dental Journal,7,7,,Narrative Review,General dentistry,,,,,,,,,Yes
55,"Jasmine Marwaha, Kianor Shah",Safety & Preventive Measures for Dental Health Care Professionals on COVID-19,International Journal of Science and Healthcare Research,3,2,,Narrative Review,General dentistry,,,,,Oral Medicine,,,,Yes
56,"Robinson Sabino-Silva, Ana Carolina Gomes Jardim, Walter L. Siqueira",Coronavirus COVID-19 impacts to dentistry and potential salivary diagnosis,Clinical Oral Investigations,2,2,32078048,Letter to editor,General dentistry,,,,,,,,,Yes
57,Spring Hatfield,Coronavirus: The Current Science Behind SARSCoV- 2 and How it Impacts Dentistry,Today's RDH,2,2,,Perspectives / Commentaries,General dentistry,,,,,Oral Medicine,,,,Yes
58,"Renato Assis Machado, Natalia Lins de Souza, Rayane Maria Oliveira, Herc?lio Martelli Junior, Paulo Rogerio Ferreti Bonan",Social media and telemedicine for oral diagnosis and counselling in the COVID-19 era,Oral Oncology,5,3,32291154,Letter to editor,General dentistry,,,,,,,,,Yes
59,"Yeon-Hee Lee, Q-Schick Auh",Strategies for Prevention of Coronavirus Disease 2019 in the Dental Field,Oral Diseases,6,3,32306496,Letter to editor,General dentistry,,,,,,,,,Yes
60,"Xian Peng, Xin Xu, Yuqing Li, Lei Cheng, Xuedong Zhou, Biao Ren",Transmission routes of 2019-nCoV and controls in dental practice,International Journal of Oral Science,6,5,32127517,Narrative Review,General dentistry,,,,,,,,,Yes
61,"Mohamed Jamal, Maanas Shah, Sameeha Husain Almarzooqi, Hend Aber, Summayah Khawaja, Rashid El Abed, Zuhair Alkhatib, Lakshman Perera Samaranayake",Overview of trans-national recommendations for COVID-19 transmission control in dental care settings,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,7,5,,Narrative Review,General dentistry,,,,,,,,,Yes
62,Md. Ashif Iqbal,Questionnaire to evaluate COVID-19 suspected patient before the dental procedure.,American journal of hematology,4,3,,Perspectives / Commentaries,General dentistry,Pedodontics,Conservative Dentistry and Endodontics,Oral and Maxillofacial Surgery,,,,,Periodontics,Yes
63,"Mohamed Yaser kharma,Mohamed Sadek Alalwani,Baydaa Koussa, Madeha Sadki,Mawada Dadoue",Up To Which Extent Dentists Are Ready To Confront COVID 19 – What They Should know?(Updating Knowledge),American journal of hematology,6,5,,Narrative Review,General dentistry,,Conservative Dentistry and Endodontics,Oral and Maxillofacial Surgery,,,,,,Yes
64,"Manas Dave, Noha Seoudi, Paul Coulthard",Urgent dental care for patients during the COVID-19 pandemic,Journal of the American Geriatrics Society,5,3,32251619,Letter to editor,General dentistry,,,,,,,,,Yes
65,"Verbeek JH, Ijaz S, Mischke C, Ruotsalainen JH, M?kel? E, Neuvonen K, Edmond MB, Sauni R, Kilinc Balci FS, Mihalache RC",Personal protective equipment for preventing highly infectious diseases due to exposure to contaminated body fluids in healthcare staff,Journal of the American Geriatrics Society,7,6,27093058,Systematic Review with Meta Analysis,,,,,,,,,,Yes
